"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"47",1918,20706,"9 Buchanan Cir, Newark, DE",19702,2008-08-21,"Sold",224900,3,2,1200,7840,283,83,93.8
"48",7545,15149,"9 Timber Creek Ln, Newark, DE",19711,2008-08-22,"Sold",260000,3,1.5,1625,10018,284,178,101.866666666667
"49",13393,1238,"3 Woodsman Dr, Newark, DE",19711,2008-08-25,"Sold",280000,4,3,2175,10018,287,88,102.133333333333
"50",2490,18484,"1010 9th St, Newark, DE",19711,2008-08-27,"Sold",179900,2,1.5,1250,5227,289,45,99.0666666666667
"51",3849,12387,"1 Nathan Hale Ct, Newark, DE",19711,2008-08-29,"Sold",150000,3,2,1350,2178,291,40,99.0666666666667
"52",2667,21895,"230 N Bridlewood Dr, Newark, DE",19702,2008-08-30,"Listed for sale",213000,3,2,1250,3484,292,67,126.866666666667
"53",9443,22364,"354 N Barrington Ct, Newark, DE",19702,2008-09-04,"Sold",204000,3,2.5,1725,2178,297,77,100.066666666667
"54",10920,22795,"7 Charles Ct, Newark, DE",19702,2008-09-04,"Sold",209900,3,2.5,1825,2178,297,176,102.666666666667
"55",2232,20294,"405 Stanley Plaza Blvd, Newark, DE",19713,2008-09-09,"Listed for sale",205000,2,3,1225,2178,302,281,133.6
"56",13104,6027,"17 Dalton Dr, Newark, DE",19702,2008-09-23,"Listed for sale",330000,3,2.5,2100,7840,316,157,138.2
"57",9027,20282,"400 Benham Ct, Newark, DE",19711,2008-09-29,"Sold",244900,3,2.5,1700,6534,322,116,101.066666666667
"58",4393,20139,"322 Goldsmith Ln, Newark, DE",19702,2008-10-02,"Sold",205000,3,3,1375,1742,325,201,111.133333333333
"59",13684,3657,"21 White Dr, Newark, DE",19702,2008-10-14,"Listed for sale",289900,4,3,2225,8712,337,297,152.466666666667
"60",14115,6706,"32 Palo Ln, Newark, DE",19702,2008-10-14,"Listed for sale",309900,3,2.5,2340,7841,337,104,151.666666666667
"61",15608,6209,"204 Marjoram Dr, Bear, DE",19702,2008-10-23,"Listed for sale",224900,2,3,3680,3920,346,47,144.8
"62",13138,6909,"372 N Barrington Ct, Newark, DE",19702,2008-10-23,"Listed for sale",224900,2,3,2108,3920,346,47,144.133333333333
"63",4967,11669,"43 Millwright Dr, Newark, DE",19711,2008-10-23,"Listed for sale",221900,4,2,1425,9147,346,186,151.4
"64",9392,20669,"801 Arbern Pl, Newark, DE",19711,2008-10-23,"Listed for sale",262000,2,3,1725,5662,346,179,155.2
"65",2147,18277,"9 Archer Cir, Newark, DE",19702,2008-10-24,"Sold",174900,3,1,1225,7840,347,122,104.2
"66",2179,19119,"137 Creekside Ct, Newark, DE",19702,2008-10-25,"Listed for sale",169900,2,1.5,1225,2178,348,48,144.533333333333
"67",8039,14670,"6 Myers Rd, Newark, DE",19713,2008-10-25,"Listed for sale",229000,3,1.1,1650,7840,348,102,148.333333333333
"68",10361,19176,"144 Hawk Dr, Newark, DE",19702,2008-10-28,"Sold",169900,3,1.5,1800,2178,351,182,110.2
"69",6157,11306,"3 Ferncliff Rd, Newark, DE",19711,2008-11-01,"Listed for sale",209900,3,2,1525,8276,355,100,152.333333333333
"70",2669,21897,"230 N Bridlewood Dr, Newark, DE",19702,2008-11-05,"Sold",210000,3,2,1250,3484,359,67,109.2
"71",7931,11270,"260 S Dillwyn Rd, Newark, DE",19711,2008-11-10,"Listed for sale",226900,3,1.5,1650,6969,364,142,154.133333333333
"72",9991,18672,"11 O'rourke Ct, Newark, DE",19702,2008-11-11,"Listed for sale",219900,3,2.5,1775,2613,365,100,149.133333333333
"73",10556,22023,"240 Pavin Ct, Newark, DE",19702,2008-11-11,"Listed for sale",236900,3,3,1800,5227,365,50,127.133333333333
"74",6273,15101,"9 Broadfield Dr, Newark, DE",19713,2008-11-11,"Listed for sale",224499,4,1.5,1525,9147,365,112,130.133333333333
"75",7569,16301,"203 Roseman Ct, Newark, DE",19711,2008-11-14,"Listed for sale",239000,3,2.5,1625,2613,368,117,119.2
"76",6859,14852,"737 Manfield Rd, Newark, DE",19713,2008-11-16,"Listed for sale",185900,4,2,1575,7840,370,134,117.666666666667
"77",6347,19094,"135 Cannonball Ln, Newark, DE",19702,2008-11-17,"Sold",197500,3,2,1525,7840,371,370,129.533333333333
"78",8347,22322,"341 Norman Dr, Newark, DE",19702,2008-11-19,"Listed for sale",217000,3,1.5,1650,2613,373,166,108.933333333333
"79",12326,371,"12 Anita Dr, Newark, DE",19713,2008-11-25,"Sold",230000,4,1.5,2000,7840,379,180,132.133333333333
"80",8721,22469,"4 Maple Ave # B, Newark, DE",19711,2008-11-26,"Sold",299000,3,2.5,1675,6534,380,115,136
"81",14542,287,"1105 Old Coochs Bridge Rd, Newark, DE",19713,2008-12-03,"Sold",228000,4,2,2542,8712,387,224,145.4
"82",4841,22224,"305 N Barrington Ct, Newark, DE",19702,2008-12-03,"Listed for sale",225000,3,2.5,1400,3920,387,153,112.2
"83",8694,21123,"117 Lauren Pl, Newark, DE",19702,2008-12-06,"Listed for sale",199900,3,2,1675,3049,390,362,133.2
"84",15610,6211,"204 Marjoram Dr, Bear, DE",19702,2008-12-09,"Sold",210000,2,3,3680,3920,393,47,136.666666666667
"85",13140,6911,"372 N Barrington Ct, Newark, DE",19702,2008-12-09,"Sold",210000,2,3,2108,3920,393,47,133.933333333333
"86",9304,16859,"31 Concord Dr, Newark, DE",19702,2008-12-10,"Listed for sale",209900,3,1.5,1725,8712,394,1,130.133333333333
"87",9305,16860,"31 Concord Dr, Newark, DE",19702,2008-12-11,"Sold",229166,3,1.5,1725,8712,395,1,131
"88",2180,19120,"137 Creekside Ct, Newark, DE",19702,2008-12-12,"Sold",825000,2,1.5,1225,2178,396,48,131.533333333333
"89",10420,20512,"58 Wellington Dr, Newark, DE",19702,2008-12-13,"Listed for sale",240000,4,2.5,1800,7840,397,177,129.533333333333
"90",7,864,"2079 Pleasant Valley Rd, Newark, DE",19702,2008-12-21,"Listed for sale",150000,3,1,580,95832,405,85,123.266666666667
"91",10822,20950,"10 Spring Dr, Newark, DE",19702,2008-12-22,"Listed for sale",2e+05,3,2.5,1825,3484,406,287,139.2
"92",10558,22025,"240 Pavin Ct, Newark, DE",19702,2008-12-31,"Sold",225000,3,3,1800,5227,415,50,129.733333333333
"93",10574,22381,"36 Lisa Dr, Newark, DE",19702,2009-01-23,"Listed for sale",218000,2,2.5,1800,2178,438,188,144.933333333333
"94",8753,8308,"111 Maple Ave, Newark, DE",19711,2009-01-26,"Sold",175000,2,1,1700,9147,441,175,129.666666666667
"95",14118,6709,"32 Palo Ln, Newark, DE",19702,2009-01-26,"Sold",286500,3,2.5,2340,7841,441,104,128.866666666667
"96",8158,17177,"4 E Green Valley Cir, Newark, DE",19711,2009-01-30,"Listed for sale",219900,3,2.5,1650,3484,445,248,154.8
